ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
ESPCC39_10132018,orangethroat,2018,October,,,,1,038,0.003,0.016,,,,,,1,3,,,,,,,
ESPCC40_10132018,orangethroat,2018,October,,,,4,001/007/012/123,0.003,0.016,,,,,,2,3/4,,,,,,,
ESPCC4_10132018,orangethroat,2018,October,,,0.56,3,012/025/039,0.003,0.016,,,,,,2,1/3,,,,,,,
ESPCC6_10132018,orangethroat,2018,October,,,0.54,4,001/025/040/041,0.003,0.016,,,,,,3,1/3/4,,,,,,,
ESPCC7_10132018,orangethroat,2018,October,,,0.53,5,007/033/042/043/124,0.003,0.016,,,,,,4,1/2/3/4,,,,,,,
ESPCC8_10132018,orangethroat,2018,October,,,1.13,3,044/045/046,0.003,0.016,,,,,,2,3/4,,,,,,,
ESPCC9_10132018,orangethroat,2018,October,,,0.65,4,001/007/012/047,0.003,0.016,,,,,,3,1/3/4,,,,,,,
ESPCC15_4212019,orangethroat,2019,April,F,38.81,0.8,1,051,0.006,0.033,,,,,,1,4,,,0,0,,,
ESPCC5_4212019,orangethroat,2019,April,M,39.32,0.96,2,007/036,0.006,0.033,,,,,,2,3/4,,,0,0,,,
ESPCC13_4212019,orangethroat,2019,April,F,39.48,0.96,3,007/035/052,0.003,0.016,,,,,,2,2/4,,,0,0,,,
ESPCC12_4212019,orangethroat,2019,April,F,40.14,1.06,1,007,0.013,0.049,,,,,,1,4,,,0,1,,,
ESPCC16_4212019,orangethroat,2019,April,F,39.47,0.98,2,036/062,0.003,0.016,,,,,,2,3/4,,,0,0,,,
ESPCC9_4212019,orangethroat,2019,April,M,44.79,1.15,1,036,0.006,0.033,,,,,,1,3,,,0,0,,,
ESPCC17_4212019,orangethroat,2019,April,F,40.49,1.04,1,007,0.013,0.049,,,,,,1,4,,,0,0,,,
ESPCC8_4212019,orangethroat,2019,April,M,38.72,0.91,2,032/035,0.003,0.016,,,,,,2,2/3,,,0,0,,,
ESPCC19_4212019,orangethroat,2019,April,F,37.1,0.81,1,044,0.003,0.016,,,,,,1,3,,,0,0,,,
ESPCC4_4212019,orangethroat,2019,April,M,39.57,0.84,3,035/038/074,0.003,0.016,,,,,,2,2/3,,,0,0,,,
